,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,la-colonia-bronx,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.8183719982828, 'longitude': -73.9222443848848}",(718) 665-1289,161.8907695422955,9Uz4-RJQ0diKc7VyJwMCNw,https://s3-media1.fl.yelpcdn.com/bphoto/cc_p1hryTxundtBqYvwQiQ/o.jpg,False,"{'address1': '594 Morris Ave', 'address2': '', 'address3': None, 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['594 Morris Ave', 'Bronx, NY 10451']}",La Colonia,+17186651289,,4.5,7,[],https://www.yelp.com/biz/la-colonia-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
1,la-frontera-mexican-grocery-bronx,"[{'alias': 'restaurants', 'title': 'Restaurants'}]","{'latitude': 40.818378, 'longitude': -73.922012}",(718) 665-1289,167.15414385168077,9bZZH93904xJxmzMyNm8rA,,False,"{'address1': '594 Morris Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['594 Morris Ave', 'Bronx, NY 10451']}",La Frontera Mexican Grocery,+17186651289,,5.0,1,[],https://www.yelp.com/biz/la-frontera-mexican-grocery-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
2,sabores-restaurant-bronx,"[{'alias': 'latin', 'title': 'Latin American'}]","{'latitude': 40.8181062340736, 'longitude': -73.9223738014698}",(718) 401-1653,191.5147703669276,rFh7c24ejXYoR1RDYip2_A,https://s3-media1.fl.yelpcdn.com/bphoto/0QMLwSvr-Hk4mAw146m15g/o.jpg,False,"{'address1': '582 Morris Ave', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['582 Morris Ave', 'Bronx, NY 10451']}",Sabores Restaurant,+17184011653,$$,2.5,7,"['pickup', 'delivery']",https://www.yelp.com/biz/sabores-restaurant-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
3,taco-bell-bronx-9,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.8176628132443, 'longitude': -73.9234081283212}",(718) 708-4433,243.12251799145966,yWKEXT7wcYwyDmzJLVh-ag,https://s3-media4.fl.yelpcdn.com/bphoto/UVYbz3XVozGSqMF2ltdFwA/o.jpg,False,"{'address1': '249 East 149th St', 'address2': '', 'address3': None, 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['249 East 149th St', 'Bronx, NY 10451']}",Taco Bell,+17187084433,,3.5,8,[],https://www.yelp.com/biz/taco-bell-bronx-9?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
4,lincoln-gyro-bronx-2,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 40.8178047016598, 'longitude': -73.9241125377958}",(929) 447-8152,245.81421082903339,VMY4ZJApwmDxh2j_XMPD2g,https://s3-media4.fl.yelpcdn.com/bphoto/8KYMx01wb2_s-gfi5i7S4Q/o.jpg,False,"{'address1': '231 B E 149 St', 'address2': None, 'address3': None, 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['231 B E 149 St', 'Bronx, NY 10451']}",Lincoln Gyro,+19294478152,,3.5,5,"['pickup', 'delivery']",https://www.yelp.com/biz/lincoln-gyro-bronx-2?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
5,joeys-hero-shop-bronx,"[{'alias': 'restaurants', 'title': 'Restaurants'}]","{'latitude': 40.817558, 'longitude': -73.922386}",(718) 993-1211,247.6575314938699,GarZhwomuGF8OXSVSKNlag,,False,"{'address1': '554 Morris Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['554 Morris Ave', 'Bronx, NY 10451']}",Joey's Hero Shop,+17189931211,,3.0,2,[],https://www.yelp.com/biz/joeys-hero-shop-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
6,la-perla-mexicana-bronx,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.81739, 'longitude': -73.9221}",(718) 585-6425,263.5279041670473,0cgtOfYGHv3stIZb7C9wHQ,https://s3-media1.fl.yelpcdn.com/bphoto/aAOFH9IynLHYbBlXvoAilg/o.jpg,False,"{'address1': '281 E 149th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['281 E 149th St', 'Bronx, NY 10451']}",La Perla Mexicana,+17185856425,$,4.0,38,[],https://www.yelp.com/biz/la-perla-mexicana-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
7,mcdonalds-bronx-42,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.81743, 'longitude': -73.922245}",(718) 292-8812,264.7275110879543,AaJhUjMfW80EXjzkNCcg1g,https://s3-media2.fl.yelpcdn.com/bphoto/gy-hTz-GuTxhklm-mlPqOw/o.jpg,False,"{'address1': '279 E 149th St', 'address2': None, 'address3': None, 'city': 'Bronx', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['279 E 149th St', 'Bronx, NY 10451']}",McDonald's,+17182928812,$,2.5,14,[],https://www.yelp.com/biz/mcdonalds-bronx-42?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
8,la-perla-mexicana-new-york,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.8174095153809, 'longitude': -73.9220886230469}",(718) 585-1309,269.22570800072583,-1Bdwxo5wx-D_9Qwfggk4g,https://s3-media1.fl.yelpcdn.com/bphoto/XJEGHDt3yl4tceaCyxIBkA/o.jpg,False,"{'address1': '281 E 149th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['281 E 149th St', 'New York, NY 10451']}",La Perla Mexicana,+17185851309,$$,4.0,1,[],https://www.yelp.com/biz/la-perla-mexicana-new-york?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
9,francos-new-york-2,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 40.8173294067383, 'longitude': -73.9214859008789}",(347) 577-1466,292.0617468719473,SPVgM1vFJYeExIfZ-NmNoQ,https://s3-media2.fl.yelpcdn.com/bphoto/yxNcMlctJ1zOcV5zSwPWsg/o.jpg,False,"{'address1': '295 E 149th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10451', 'country': 'US', 'state': 'NY', 'display_address': ['295 E 149th St', 'New York, NY 10451']}",Franco's,+13475771466,$,4.5,36,[],https://www.yelp.com/biz/francos-new-york-2?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
